/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
0,0,0,0,0,0,0,0,0,0.4953185830382481,0,0.4953185830382481
1.5625e-14,0.0003125000000000001,1.5625e-14,0.0003125000000000001,1.5625e-14,0,1.5625e-14,0,1.5625e-14,0.4953328086171404,1.5625e-14,0.4953328086171404
4.687500000000001e-14,0.0009375000000000002,4.687500000000001e-14,0.0009375000000000002,4.687500000000001e-14,0,4.687500000000001e-14,0,4.687500000000001e-14,0.4953643479582839,4.687500000000001e-14,0.4953643479582839
6.250000000000001e-14,0.00125,6.250000000000001e-14,0.00125,6.250000000000001e-14,0,6.250000000000001e-14,0,6.250000000000001e-14,0.4953803711308788,6.250000000000001e-14,0.4953803711308788
9.375000000000002e-14,0.001875,9.375000000000002e-14,0.001875,9.375000000000002e-14,0,9.375000000000002e-14,0,9.375000000000002e-14,0.4954122322116183,9.375000000000002e-14,0.4954122322116183
1.5625e-13,0.003125,1.5625e-13,0.003125,1.5625e-13,0,1.5625e-13,0,1.5625e-13,0.4954757085606853,1.5625e-13,0.4954757085606853
2.8125e-13,0.005625000000000001,2.8125e-13,0.005625000000000001,2.8125e-13,0,2.8125e-13,0,2.8125e-13,0.4956023561427466,2.8125e-13,0.4956023561427466
5.312500000000001e-13,0.010625,5.312500000000001e-13,0.010625,5.312500000000001e-13,0,5.312500000000001e-13,0,5.312500000000001e-13,0.4958539042876984,5.312500000000001e-13,0.4958539042876984
9.854915065072646e-13,0.01970983013014529,9.854915065072646e-13,0.01970983013014529,9.854915065072646e-13,0,9.854915065072646e-13,0,9.854915065072646e-13,0.4963074463060053,9.854915065072646e-13,0.4963074463060053
1.635185072584763e-12,0.03270370145169525,1.635185072584763e-12,0.03270370145169525,1.635185072584763e-12,0,1.635185072584763e-12,0,1.635185072584763e-12,0.49694429907398,1.635185072584763e-12,0.49694429907398
2.735669851893396e-12,0.05471339703786791,2.735669851893396e-12,0.05471339703786791,2.735669851893396e-12,0,2.735669851893396e-12,0,2.735669851893396e-12,0.4979992023025099,2.735669851893396e-12,0.4979992023025099
4.936639410510662e-12,0.09873278821021325,4.936639410510662e-12,0.09873278821021325,4.936639410510662e-12,0,4.936639410510662e-12,0,4.936639410510662e-12,0.5000393739950924,4.936639410510662e-12,0.5000393739950924
8.745241581059369e-12,0.1749048316211874,8.745241581059369e-12,0.1749048316211874,8.745241581059369e-12,0,8.745241581059369e-12,0,8.745241581059369e-12,0.5034306098501016,8.745241581059369e-12,0.5034306098501016
