/Q (d_del=4.574359e-10) X,/Q (d_del=4.574359e-10) Y,/Q (d_del=4.623077e-10) X,/Q (d_del=4.623077e-10) Y,/D (d_del=4.574359e-10) X,/D (d_del=4.574359e-10) Y,/D (d_del=4.623077e-10) X,/D (d_del=4.623077e-10) Y,/Clk (d_del=4.574359e-10) X,/Clk (d_del=4.574359e-10) Y,/Clk (d_del=4.623077e-10) X,/Clk (d_del=4.623077e-10) Y
0,0.4953185830382429,0,0.4953185830382429,0,1,0,1,0,0,0,0
1.5625e-14,0.4953328089502275,1.5625e-14,0.4953328089502275,1.5625e-14,1,1.5625e-14,1,1.5625e-14,0.0003125000000000001,1.5625e-14,0.0003125000000000001
4.687500000000001e-14,0.4953643496667426,4.687500000000001e-14,0.4953643496667426,4.687500000000001e-14,1,4.687500000000001e-14,1,4.687500000000001e-14,0.0009375000000000002,4.687500000000001e-14,0.0009375000000000002
6.250000000000001e-14,0.4953803735741397,6.250000000000001e-14,0.4953803735741397,6.250000000000001e-14,1,6.250000000000001e-14,1,6.250000000000001e-14,0.00125,6.250000000000001e-14,0.00125
9.375000000000002e-14,0.4954122365009365,9.375000000000002e-14,0.4954122365009365,9.375000000000002e-14,1,9.375000000000002e-14,1,9.375000000000002e-14,0.001875,9.375000000000002e-14,0.001875
1.5625e-13,0.4954757165852088,1.5625e-13,0.4954757165852088,1.5625e-13,1,1.5625e-13,1,1.5625e-13,0.003125,1.5625e-13,0.003125
2.8125e-13,0.4956023690448239,2.8125e-13,0.4956023690448239,2.8125e-13,1,2.8125e-13,1,2.8125e-13,0.005625000000000001,2.8125e-13,0.005625000000000001
5.312500000000001e-13,0.4958539186117158,5.312500000000001e-13,0.4958539186117158,5.312500000000001e-13,1,5.312500000000001e-13,1,5.312500000000001e-13,0.010625,5.312500000000001e-13,0.010625
9.830173790154848e-13,0.4963050077930479,9.830173790154848e-13,0.4963050077930479,9.830173790154848e-13,1,9.830173790154848e-13,1,9.830173790154848e-13,0.01966034758030969,9.830173790154848e-13,0.01966034758030969
1.633715990631492e-12,0.4969428781964955,1.633715990631492e-12,0.4969428781964955,1.633715990631492e-12,1,1.633715990631492e-12,1,1.633715990631492e-12,0.03267431981262984,1.633715990631492e-12,0.03267431981262984
2.747542757300152e-12,0.4980104482861714,2.747542757300152e-12,0.4980104482861714,2.747542757300152e-12,1,2.747542757300152e-12,1,2.747542757300152e-12,0.05495085514600304,2.747542757300152e-12,0.05495085514600304
4.975196290637472e-12,0.5000744795797143,4.975196290637472e-12,0.5000744795797143,4.975196290637472e-12,1,4.975196290637472e-12,1,4.975196290637472e-12,0.09950392581274943,4.975196290637472e-12,0.09950392581274943
8.793181401413662e-12,0.5034725466194373,8.793181401413662e-12,0.5034725466194373,8.793181401413662e-12,1,8.793181401413662e-12,1,8.793181401413662e-12,0.1758636280282732,8.793181401413662e-12,0.1758636280282732
1.378489803414681e-11,0.5077894743085106,1.378489803414681e-11,0.5077894743085106,1.378489803414681e-11,1,1.378489803414681e-11,1,1.378489803414681e-11,0.2756979606829362,1.378489803414681e-11,0.2756979606829362
2.064855591000074e-11,0.5129473066155975,2.064855591000074e-11,0.5129473066155975,2.064855591000074e-11,1,2.064855591000074e-11,1,2.064855591000074e-11,0.4129711182000148,2.064855591000074e-11,0.4129711182000148
2.436173242623288e-11,0.5140405860727985,2.436173242623288e-11,0.5140405860727985,2.436173242623288e-11,1,2.436173242623288e-11,1,2.436173242623288e-11,0.4872346485246575,2.436173242623288e-11,0.4872346485246575
2.756049748407673e-11,0.5113699446111432,2.756049748407673e-11,0.5113699446111432,2.756049748407673e-11,1,2.756049748407673e-11,1,2.756049748407673e-11,0.5512099496815346,2.756049748407673e-11,0.5512099496815346
3.160294039802535e-11,0.4962090452568961,3.160294039802535e-11,0.4962090452568961,3.160294039802535e-11,1,3.160294039802535e-11,1,3.160294039802535e-11,0.632058807960507,3.160294039802535e-11,0.632058807960507
3.458523062587548e-11,0.4712699676473872,3.458523062587548e-11,0.4712699676473872,3.458523062587548e-11,1,3.458523062587548e-11,1,3.458523062587548e-11,0.6917046125175096,3.458523062587548e-11,0.6917046125175096
3.74544249614679e-11,0.4324567354257,3.74544249614679e-11,0.4324567354257,3.74544249614679e-11,1,3.74544249614679e-11,1,3.74544249614679e-11,0.7490884992293581,3.74544249614679e-11,0.7490884992293581
3.924232656833576e-11,0.4006698825072793,3.924232656833576e-11,0.4006698825072793,3.924232656833576e-11,1,3.924232656833576e-11,1,3.924232656833576e-11,0.7848465313667152,3.924232656833576e-11,0.7848465313667152
4.139760884195002e-11,0.3554390800379565,4.139760884195002e-11,0.3554390800379565,4.139760884195002e-11,1,4.139760884195002e-11,1,4.139760884195002e-11,0.8279521768390004,4.139760884195002e-11,0.8279521768390004
4.300983491197047e-11,0.3175080269322121,4.300983491197047e-11,0.3175080269322121,4.300983491197047e-11,1,4.300983491197047e-11,1,4.300983491197047e-11,0.8601966982394095,4.300983491197047e-11,0.8601966982394095
4.452664997538652e-11,0.2795821453215154,4.452664997538652e-11,0.2795821453215154,4.452664997538652e-11,1,4.452664997538652e-11,1,4.452664997538652e-11,0.8905329995077305,4.452664997538652e-11,0.8905329995077305
4.55408593538465e-11,0.2535267253040239,4.55408593538465e-11,0.2535267253040239,4.55408593538465e-11,1,4.55408593538465e-11,1,4.55408593538465e-11,0.9108171870769299,4.55408593538465e-11,0.9108171870769299
4.686115737604144e-11,0.2198280389809789,4.686115737604144e-11,0.2198280389809789,4.686115737604144e-11,1,4.686115737604144e-11,1,4.686115737604144e-11,0.9372231475208288,4.686115737604144e-11,0.9372231475208288
4.806377378952663e-11,0.1904996570816878,4.806377378952663e-11,0.1904996570816878,4.806377378952663e-11,1,4.806377378952663e-11,1,4.806377378952663e-11,0.9612754757905325,4.806377378952663e-11,0.9612754757905325
4.903188689476331e-11,0.1683540320746382,4.903188689476331e-11,0.1683540320746382,4.903188689476331e-11,1,4.903188689476331e-11,1,4.903188689476331e-11,0.9806377378952662,4.903188689476331e-11,0.9806377378952662
5e-11,0.1474541779191346,5e-11,0.1474541779191346,5e-11,1,5e-11,1,5e-11,1,5e-11,1
5.002812549806288e-11,0.1468081194550672,5.002812549806288e-11,0.1468081194550672,5.002812549806288e-11,1,5.002812549806288e-11,1,5.002812549806288e-11,1,5.002812549806288e-11,1
5.008437649418864e-11,0.1455063363799358,5.008437649418864e-11,0.1455063363799358,5.008437649418864e-11,1,5.008437649418864e-11,1,5.008437649418864e-11,1,5.008437649418864e-11,1
5.019687848644015e-11,0.1429153658596295,5.019687848644015e-11,0.1429153658596295,5.019687848644015e-11,1,5.019687848644015e-11,1,5.019687848644015e-11,1,5.019687848644015e-11,1
5.042188247094317e-11,0.1377945659915197,5.042188247094317e-11,0.1377945659915197,5.042188247094317e-11,1,5.042188247094317e-11,1,5.042188247094317e-11,1,5.042188247094317e-11,1
5.087189043994922e-11,0.1277977814788718,5.087189043994922e-11,0.1277977814788718,5.087189043994922e-11,1,5.087189043994922e-11,1,5.087189043994922e-11,1,5.087189043994922e-11,1
