/D1 (d_del=1e-10) X,/D1 (d_del=1e-10) Y,/D1 (d_del=2e-10) X,/D1 (d_del=2e-10) Y,/D1 (d_del=3e-10) X,/D1 (d_del=3e-10) Y,/I0/output (d_del=1e-10) X,/I0/output (d_del=1e-10) Y,/I0/output (d_del=2e-10) X,/I0/output (d_del=2e-10) Y,/I0/output (d_del=3e-10) X,/I0/output (d_del=3e-10) Y,/V0/MINUS (d_del=1e-10) X,/V0/MINUS (d_del=1e-10) Y,/V0/MINUS (d_del=2e-10) X,/V0/MINUS (d_del=2e-10) Y,/V0/MINUS (d_del=3e-10) X,/V0/MINUS (d_del=3e-10) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,1.485120272120331e-11,0,1.485120272120331e-11,0,1.485120272120331e-11
3.125000000000001e-14,0.0003125000000000001,3.125000000000001e-14,0.00015625,3.125000000000001e-14,0.0001041666666666667,3.125000000000001e-14,-1.067798844932942e-06,3.125000000000001e-14,-5.33936104139395e-07,3.125000000000001e-14,-3.559708043640218e-07,3.125000000000001e-14,-9.981567435294006e-07,3.125000000000001e-14,-4.991159241655733e-07,3.125000000000001e-14,-3.327522907604858e-07
9.375000000000002e-14,0.0009375000000000002,9.375000000000002e-14,0.0004687500000000001,9.375000000000002e-14,0.0003125000000000001,9.375000000000002e-14,-1.242793040450222e-06,9.375000000000002e-14,-6.214990958299501e-07,9.375000000000002e-14,-4.143159252254867e-07,9.375000000000002e-14,-1.189164956225347e-06,9.375000000000002e-14,-5.946850704076303e-07,9.375000000000002e-14,-3.964345696364267e-07
1.25e-13,0.00125,1.25e-13,0.0006250000000000001,1.25e-13,0.0004166666666666667,1.25e-13,-1.366494127457034e-06,1.25e-13,-6.826196384359437e-07,1.25e-13,-4.223438439078641e-07,1.25e-13,-1.120331187531543e-06,1.25e-13,-5.597828049096022e-07,1.25e-13,-4.058028661032634e-07
1.875e-13,0.001875,1.875e-13,0.0009375000000000002,1.875e-13,0.0006250000000000001,1.875e-13,-1.180571837798722e-06,1.875e-13,-5.911050433271871e-07,1.875e-13,-4.181031357959415e-07,1.875e-13,-1.278652568180174e-06,1.875e-13,-6.399160552118291e-07,1.875e-13,-4.024610878036885e-07
3.125e-13,0.003125,3.125e-13,0.0015625,3.125e-13,0.001041666666666667,3.125e-13,-1.357335661129979e-06,3.125e-13,-6.778410638581908e-07,3.125e-13,-4.404548059089947e-07,3.125e-13,-1.121916890323439e-06,3.125e-13,-5.603930299168001e-07,3.125e-13,-3.853908477170115e-07
5.625000000000001e-13,0.005625000000000001,5.625000000000001e-13,0.0028125,5.625000000000001e-13,0.001875,5.625000000000001e-13,-1.170780194993264e-06,5.625000000000001e-13,-5.863542554500629e-07,5.625000000000001e-13,-4.023784484078358e-07,5.625000000000001e-13,-1.290764714865955e-06,5.625000000000001e-13,-6.461992075804925e-07,5.625000000000001e-13,-4.190698908655419e-07
1.0625e-12,0.010625,1.0625e-12,0.0053125,1.0625e-12,0.003541666666666667,1.0625e-12,-1.334904632367345e-06,1.0625e-12,-6.666059423770646e-07,1.0625e-12,-4.329469573453295e-07,1.0625e-12,-1.142366531067466e-06,1.0625e-12,-5.708463960368403e-07,1.0625e-12,-3.923896755030314e-07
2.0625e-12,0.020625,2.0625e-12,0.0103125,2.0625e-12,0.006875000000000001,2.0625e-12,-1.128625770644842e-06,2.0625e-12,-5.651898667150197e-07,2.0625e-12,-3.882491652178367e-07,2.0625e-12,-1.331657005778336e-06,2.0625e-12,-6.67459893661713e-07,2.0625e-12,-4.334173591892252e-07
4.062500000000001e-12,0.040625,4.062500000000001e-12,0.0203125,4.062500000000001e-12,0.01354166666666667,4.062500000000001e-12,-1.255104459071755e-06,4.062500000000001e-12,-6.257939209239437e-07,4.062500000000001e-12,-4.055318001823671e-07,4.062500000000001e-12,-1.217669523420117e-06,4.062500000000001e-12,-6.109572512311206e-07,4.062500000000001e-12,-4.196487417443291e-07
8.062500000000001e-12,0.08062500000000002,8.062500000000001e-12,0.04031250000000001,8.062500000000001e-12,0.026875,8.062500000000001e-12,-9.887946283497219e-07,8.062500000000001e-12,-4.908757774523788e-07,8.062500000000001e-12,-3.377177171486224e-07,8.062500000000001e-12,-1.460255594360021e-06,8.062500000000001e-12,-7.403599281077625e-07,8.062500000000001e-12,-4.837332419150795e-07
1.60625e-11,0.160625,1.60625e-11,0.08031250000000001,1.60625e-11,0.05354166666666667,1.60625e-11,-1.045417354948055e-06,1.60625e-11,-5.02211905777929e-07,1.60625e-11,-3.191512801332678e-07,1.60625e-11,-1.388929262586607e-06,1.60625e-11,-7.297941137932031e-07,1.60625e-11,-5.048716435848354e-07
3.206250000000001e-11,0.320625,3.206250000000001e-11,0.1603125,3.206250000000001e-11,0.106875,3.206250000000001e-11,-7.818253709899793e-07,3.206250000000001e-11,-3.241047153646441e-07,3.206250000000001e-11,-2.116479391537676e-07,3.206250000000001e-11,-1.447179777783321e-06,3.206250000000001e-11,-8.889662925048295e-07,3.206250000000001e-11,-6.049980026628662e-07
6.40625e-11,0.640625,6.40625e-11,0.3203125,6.40625e-11,0.2135416666666667,6.40625e-11,4.704537392630634e-06,6.40625e-11,-3.763998746533827e-07,6.40625e-11,-1.914198821454398e-07,6.40625e-11,-4.285229969055936e-07,6.40625e-11,-7.336425877228493e-07,6.40625e-11,-6.087837239080108e-07
8.203125000000001e-11,0.8203125000000001,1.174226196620669e-10,0.5871130983103345,1.265598634226042e-10,0.4218662114086807,8.203125000000001e-11,2.223288204882123e-05,1.174226196620669e-10,2.495527643071269e-06,1.265598634226042e-10,-3.66384232891107e-08,8.203125000000001e-11,-5.899713030537252e-07,1.174226196620669e-10,-3.1703736264724e-07,1.265598634226042e-10,-4.169429459923876e-07
1e-10,1,1.587113098310335e-10,0.7935565491551674,1.659772605509564e-10,0.5532575351698547,1e-10,4.534891477351777e-05,1.587113098310335e-10,1.910175765741968e-05,1.659772605509564e-10,1.514360068584632e-06,1e-10,8.518603749624411e-09,1.587113098310335e-10,-8.611856240925346e-08,1.659772605509564e-10,-1.752811799087315e-07
1.002651533659912e-10,1,1.793556549155168e-10,0.8967782745775837,2.013793556642105e-10,0.6712645188807016,1.002651533659912e-10,4.60172086849364e-05,1.793556549155168e-10,3.175291842615407e-05,2.013793556642105e-10,7.253778000432444e-06,1.002651533659912e-10,5.439182129964991e-07,1.793556549155168e-10,7.763746598547806e-09,2.013793556642105e-10,-1.608489287119436e-07
1.007954600979736e-10,1,2e-10,1,2.448208336974574e-10,0.8160694456581915,1.007954600979736e-10,4.599766208585774e-05,2e-10,4.444117166669268e-05,2.448208336974574e-10,2.172866745343119e-05,1.007954600979736e-10,5.583397731102312e-07,2e-10,1.685586763287045e-07,2.448208336974574e-10,6.925845457833756e-08
1.018560735619383e-10,1,2.004753913915053e-10,1,2.777937752981799e-10,0.925979250993933,1.018560735619383e-10,4.592138812810815e-05,2.004753913915053e-10,4.475227329955238e-05,2.777937752981799e-10,3.488259140866077e-05,1.018560735619383e-10,5.406119390972242e-07,2.004753913915053e-10,5.068729476219009e-07,2.777937752981799e-10,1.295031642563159e-07
1.039773004898677e-10,1,2.01426174174516e-10,1,3e-10,1,1.039773004898677e-10,4.580442809613792e-05,2.01426174174516e-10,4.46939930523229e-05,3e-10,4.333383209645473e-05,1.039773004898677e-10,5.510425020245566e-07,2.01426174174516e-10,5.095370920121753e-07,3e-10,2.691291535096212e-07
1.082197543457267e-10,1,2.033277397405373e-10,1,3.006939445219319e-10,1,1.082197543457267e-10,4.553078408014593e-05,2.033277397405373e-10,4.456377321053531e-05,3.006939445219319e-10,4.349068591949389e-05,1.082197543457267e-10,5.26667027021746e-07,2.033277397405373e-10,5.013607250146905e-07,3.006939445219319e-10,4.741299570144225e-07
1.167046620574445e-10,1,2.071308708725799e-10,1,3.010409167828978e-10,1,1.167046620574445e-10,4.500494967559944e-05,2.071308708725799e-10,4.431286830156024e-05,3.010409167828978e-10,4.346803007124559e-05,1.167046620574445e-10,5.239827025065459e-07,2.071308708725799e-10,4.985323124234574e-07,3.010409167828978e-10,4.749019417615541e-07
1.336744774808802e-10,1,2.14737133136665e-10,1,3.017348613048297e-10,1,1.336744774808802e-10,4.385478005651309e-05,2.14737133136665e-10,4.378505127355853e-05,3.017348613048297e-10,4.341618733356173e-05,1.336744774808802e-10,4.761296296200941e-07,2.14737133136665e-10,4.799816413067561e-07,3.017348613048297e-10,4.723544367303437e-07
1.676141083277516e-10,1,2.299496576648354e-10,1,3.031227503486936e-10,1,1.676141083277516e-10,4.130465338172297e-05,2.299496576648354e-10,4.268544382083798e-05,3.031227503486936e-10,4.331836509101624e-05,1.676141083277516e-10,4.331846657302453e-07,2.299496576648354e-10,4.57703150329226e-07,3.031227503486936e-10,4.712158301638337e-07
2.354933700214944e-10,1,2.603747067211761e-10,1,3.058985284364212e-10,1,2.354933700214944e-10,3.467015812877679e-05,2.603747067211761e-10,4.021790554757993e-05,3.058985284364212e-10,4.311448530309929e-05,2.354933700214944e-10,3.160429892267589e-07,2.603747067211761e-10,4.042390934462961e-07,3.058985284364212e-10,4.651099988269091e-07
3.043825016696523e-10,1,3.212248048338575e-10,1,3.114500846118766e-10,1,3.043825016696523e-10,2.316454946053436e-05,3.212248048338575e-10,3.397896317235252e-05,3.114500846118766e-10,4.270503018952642e-05,3.043825016696523e-10,2.139070620331764e-07,3.212248048338575e-10,3.180502410352361e-07,3.114500846118766e-10,4.569051622612356e-07
3.622742175412583e-10,1,3.880156790279487e-10,1,3.225531969627873e-10,1,3.622742175412583e-10,1.069591369288573e-05,3.880156790279487e-10,2.229511208570036e-05,3.225531969627873e-10,4.184657224647756e-05,3.622742175412583e-10,8.418820285310206e-08,3.880156790279487e-10,1.954990772954094e-07,3.225531969627873e-10,4.372707521593991e-07
4.172595006648744e-10,1,4.433233274322395e-10,1,3.447594216646086e-10,1,4.172595006648744e-10,3.9842140417799e-06,4.433233274322395e-10,1.050679204486248e-05,3.447594216646086e-10,3.99904520458657e-05,4.172595006648744e-10,4.288286408269272e-08,4.433233274322395e-10,9.291475197404656e-08,3.447594216646086e-10,4.036507603407651e-07
4.599585093650325e-10,1,4.987349740612433e-10,1,3.891718710682513e-10,1,4.599585093650325e-10,1.630481112243902e-06,4.987349740612433e-10,3.851093939778331e-06,3.891718710682513e-10,3.557580688714783e-05,4.599585093650325e-10,5.42561269263362e-09,4.987349740612433e-10,3.134078145262292e-08,3.891718710682513e-10,3.363569427472489e-07
5.059499655874713e-10,1,5.437217636600703e-10,1,4.558477682379672e-10,1,5.059499655874713e-10,7.005846300963786e-07,5.437217636600703e-10,1.497513729319974e-06,4.558477682379672e-10,2.538065309846447e-05,5.059499655874713e-10,1.459168265902848e-08,5.437217636600703e-10,1.466733221104826e-08,4.558477682379672e-10,2.264167697077618e-07
5.558443995630137e-10,1,5.897712849608334e-10,1,5.114374670279178e-10,1,5.558443995630137e-10,1.668629618656034e-07,5.897712849608334e-10,6.37766122640532e-07,5.114374670279178e-10,1.294251981173096e-05,5.558443995630137e-10,-7.141634756759127e-09,5.897712849608334e-10,3.669917485760344e-09,5.114374670279178e-10,1.126182008034157e-07
6.233138419147278e-10,1,6.403842443777902e-10,1,5.645498316383561e-10,1,6.233138419147278e-10,9.8331184125203e-08,6.403842443777902e-10,1.508496224566019e-07,5.645498316383561e-10,5.284091196527073e-06,6.233138419147278e-10,9.421206653208691e-09,6.403842443777902e-10,3.100830894016372e-09,5.645498316383561e-10,4.556800111177757e-08
7.152642119241082e-10,1,7.087493561428848e-10,1,5.911060139435751e-10,1,7.152642119241082e-10,-5.051336719055327e-08,7.087493561428848e-10,8.545007788162329e-08,5.911060139435751e-10,3.110269309625962e-06,7.152642119241082e-10,-9.001402460590475e-09,7.087493561428848e-10,-1.067013755758528e-09,5.911060139435751e-10,2.681059084248884e-08
