/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
0,0,0,0,0,0,0,9.164077879365993e-08,0,9.164079069832881e-08,0,0,0,9.164077878904141e-08,0,1,0,1.641007446354732e-11,0,3.376054989087313e-11,0,4.196558807786009e-11,0,2.880776019503505e-11,0,0,0,0
5.2e-11,0,5.2e-11,0,5.2e-11,0,5.2e-11,9.54244390412036e-08,5.2e-11,9.366590390703035e-08,5.2e-11,0,5.2e-11,9.387449936568107e-08,5.2e-11,1,5.2e-11,1.401561923662049e-07,5.2e-11,2.64571041794691e-07,5.2e-11,3.038732662058562e-07,5.2e-11,3.1409820997818e-08,5.2e-11,0,5.2e-11,0
1.56e-10,0,1.56e-10,0,1.56e-10,0,1.56e-10,9.566007237266135e-08,1.56e-10,9.379198514507993e-08,1.56e-10,0,1.56e-10,9.381619875271915e-08,1.56e-10,1,1.56e-10,4.201998291465016e-07,1.56e-10,7.932482852733355e-07,1.56e-10,9.110593868628481e-07,1.56e-10,3.654918499938527e-08,1.56e-10,0,1.56e-10,0
3.64e-10,0,3.64e-10,0,3.64e-10,0,3.64e-10,9.56756322161536e-08,3.64e-10,9.380034723233696e-08,3.64e-10,0,3.64e-10,9.378055612718682e-08,3.64e-10,1,3.64e-10,9.802987237698851e-07,3.64e-10,1.850599241999854e-06,3.64e-10,2.12541714874766e-06,3.64e-10,3.739256240007287e-08,3.64e-10,0,3.64e-10,0
7.8e-10,0,7.8e-10,0,7.8e-10,0,7.8e-10,9.566077871124511e-08,7.8e-10,9.379236267708416e-08,7.8e-10,0,7.8e-10,9.381020523105365e-08,7.8e-10,1,7.8e-10,2.100500712256707e-06,7.8e-10,3.965274202978437e-06,7.8e-10,4.554090338788645e-06,7.8e-10,3.665772118015459e-08,7.8e-10,0,7.8e-10,0
9.999e-10,0,9.999e-10,0,9.999e-10,0,9.999e-10,9.567473742004106e-08,9.999e-10,9.379985462435708e-08,9.999e-10,0,9.999e-10,9.378517431618055e-08,9.999e-10,1,9.999e-10,2.692642005761167e-06,9.999e-10,5.08308415025749e-06,9.999e-10,5.837874625758063e-06,9.999e-10,3.730518545938846e-08,9.999e-10,0,9.999e-10,0
9.9990065e-10,0,9.9990065e-10,0,9.9990065e-10,0,9.9990065e-10,9.574696519493584e-08,9.9990065e-10,9.383471720723417e-08,9.9990065e-10,0,9.9990065e-10,9.382031059626329e-08,9.9990065e-10,1,9.9990065e-10,2.692680242874254e-06,9.9990065e-10,5.086373459698898e-06,9.9990065e-10,5.840933550730586e-06,9.9990065e-10,3.733068048620599e-08,9.9990065e-10,0,9.9990065e-10,0
9.9990195e-10,0,9.9990195e-10,0,9.9990195e-10,0,9.9990195e-10,9.618410754896453e-08,9.9990195e-10,9.404570122398854e-08,9.9990195e-10,0,9.9990195e-10,9.403287572735151e-08,9.9990195e-10,1,9.9990195e-10,2.692856335026399e-06,9.9990195e-10,5.100683737700494e-06,9.9990195e-10,5.854230506406921e-06,9.9990195e-10,3.743907083312703e-08,9.9990195e-10,0,9.9990195e-10,0
9.9990455e-10,0,9.9990455e-10,0,9.9990455e-10,0,9.9990455e-10,9.987147842450072e-08,9.9990455e-10,9.582410288805626e-08,9.9990455e-10,0,9.9990455e-10,9.582260326321724e-08,9.9990455e-10,1,9.9990455e-10,2.694057373985344e-06,9.9990455e-10,5.16728469661102e-06,9.9990455e-10,5.915894995392353e-06,9.9990455e-10,3.790516313013972e-08,9.9990455e-10,0,9.9990455e-10,0
9.999054254577381e-10,0,9.999054254577381e-10,0,9.999054254577381e-10,0,9.999054254577381e-10,1.022081600633022e-07,9.999054254577381e-10,9.695063733702757e-08,9.999054254577381e-10,0,9.999054254577381e-10,9.695578003883438e-08,9.999054254577381e-10,1,9.999054254577381e-10,2.694817004453181e-06,9.999054254577381e-10,5.201477099411643e-06,9.999054254577381e-10,5.94747699811681e-06,9.999054254577381e-10,3.813356271368953e-08,9.999054254577381e-10,0,9.999054254577381e-10,0
