/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/VC3 X,/VC3 Y,/VC4 X,/VC4 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
0,0,0,0,0,0,0,9.164078016718108e-08,0,9.164079209316783e-08,0,0,0,9.164078024796052e-08,0,1,0,8.575470992336448e-12,0,1.766521817766402e-11,0,1.766521755927952e-11,0,1.766521551547083e-11,0,-9.137552966030858e-08,0,1.327707810717806e-11,0,0,0,0
6e-11,0,6e-11,0,6e-11,0,6e-11,-4.134374453949992e-06,6e-11,-4.134927244211578e-06,6e-11,0,6e-11,-4.134779297016258e-06,6e-11,1,6e-11,1.384749000725946e-07,6e-11,4.558003782612405e-07,6e-11,4.557898411228875e-07,6e-11,3.248790634144419e-07,6e-11,-0.002968051888371865,6e-11,4.145518549675393e-08,6e-11,0,6e-11,0
1.512643757754267e-10,0,1.512643757754267e-10,0,1.512643757754267e-10,0,1.512643757754267e-10,-4.234412752070863e-06,1.512643757754267e-10,-4.235388163200956e-06,1.512643757754267e-10,0,1.512643757754267e-10,-4.235411527680516e-06,1.512643757754267e-10,1,1.512643757754267e-10,6.776966475787832e-07,1.512643757754267e-10,1.435323497599339e-06,1.512643757754267e-10,1.435288593787483e-06,1.512643757754267e-10,1.395068171278864e-06,1.512643757754267e-10,-0.007442188284505878,1.512643757754267e-10,6.992882060756299e-08,1.512643757754267e-10,0,1.512643757754267e-10,0
2.582074930042707e-10,0,2.582074930042707e-10,0,2.582074930042707e-10,0,2.582074930042707e-10,-4.19995252432059e-06,2.582074930042707e-10,-4.200990441644429e-06,2.582074930042707e-10,0,2.582074930042707e-10,-4.200984629431185e-06,2.582074930042707e-10,1,2.582074930042707e-10,1.321005093500934e-06,2.582074930042707e-10,2.59303050582722e-06,2.582074930042707e-10,2.592968405769233e-06,2.582074930042707e-10,2.619962144695349e-06,2.582074930042707e-10,-0.01266118628346598,2.582074930042707e-10,6.958853465982084e-08,2.582074930042707e-10,0,2.582074930042707e-10,0
4.720937274619589e-10,0,4.720937274619589e-10,0,4.720937274619589e-10,0,4.720937274619589e-10,-4.078851861140821e-06,4.720937274619589e-10,-4.079787115424162e-06,4.720937274619589e-10,0,4.720937274619589e-10,-4.079791745463073e-06,4.720937274619589e-10,1,4.720937274619589e-10,2.642263511122831e-06,4.720937274619589e-10,4.93867784787806e-06,4.720937274619589e-10,4.938569115924108e-06,4.720937274619589e-10,4.987960675567101e-06,4.720937274619589e-10,-0.02290958396453318,4.720937274619589e-10,6.216838975374317e-08,4.720937274619589e-10,0,4.720937274619589e-10,0
7.251133521138797e-10,0,7.251133521138797e-10,0,7.251133521138797e-10,0,7.251133521138797e-10,-4.069616765192443e-06,7.251133521138797e-10,-4.070467649035869e-06,7.251133521138797e-10,0,7.251133521138797e-10,-4.070469299681184e-06,7.251133521138797e-10,1,7.251133521138797e-10,4.109935451727561e-06,7.251133521138797e-10,7.630117723100756e-06,7.251133521138797e-10,7.629963082184143e-06,7.251133521138797e-10,7.53849019730892e-06,7.251133521138797e-10,-0.03484865784202835,7.251133521138797e-10,5.871044554831778e-08,7.251133521138797e-10,0,7.251133521138797e-10,0
9.494107256335101e-10,0,9.494107256335101e-10,0,9.494107256335101e-10,0,9.494107256335101e-10,-3.605789567960434e-06,9.494107256335101e-10,-3.606840593352455e-06,9.494107256335101e-10,0,9.494107256335101e-10,-3.606841222320714e-06,9.494107256335101e-10,1,9.494107256335101e-10,5.723727203577949e-06,9.494107256335101e-10,1.028931351723671e-05,9.494107256335101e-10,1.028913294838812e-05,9.494107256335101e-10,9.944718486131047e-06,9.494107256335101e-10,-0.04482116921151068,9.494107256335101e-10,5.334057902394109e-08,9.494107256335101e-10,0,9.494107256335101e-10,0
9.999e-10,0,9.999e-10,0,9.999e-10,0,9.999e-10,-3.122863225207416e-06,9.999e-10,-3.125434704134695e-06,9.999e-10,0,9.999e-10,-3.125464263538907e-06,9.999e-10,1,9.999e-10,6.703346903100182e-06,9.999e-10,1.142592595686755e-05,9.999e-10,1.142575050421335e-05,9.999e-10,1.102333212538359e-05,9.999e-10,-0.04678715469194476,9.999e-10,5.698579538352661e-08,9.999e-10,0,9.999e-10,0
9.999007500000001e-10,0,9.999007500000001e-10,0,9.999007500000001e-10,0,9.999007500000001e-10,-3.120440266063508e-06,9.999007500000001e-10,-3.123919526322096e-06,9.999007500000001e-10,0,9.999007500000001e-10,-3.123935485516375e-06,9.999007500000001e-10,1,9.999007500000001e-10,6.736149073233398e-06,9.999007500000001e-10,1.146145494715347e-05,9.999007500000001e-10,1.146237924201115e-05,9.999007500000001e-10,1.106017232334278e-05,9.999007500000001e-10,-0.04678712068282882,9.999007500000001e-10,5.757142796063071e-08,9.999007500000001e-10,0,9.999007500000001e-10,0
9.999022500000001e-10,0,9.999022500000001e-10,0,9.999022500000001e-10,0,9.999022500000001e-10,-3.113107886507091e-06,9.999022500000001e-10,-3.118930296456749e-06,9.999022500000001e-10,0,9.999022500000001e-10,-3.118910823798675e-06,9.999022500000001e-10,1,9.999022500000001e-10,6.780404125295487e-06,9.999022500000001e-10,1.152593463059812e-05,9.999022500000001e-10,1.152807111331463e-05,9.999022500000001e-10,1.11262346413487e-05,9.999022500000001e-10,-0.04678702133405394,9.999022500000001e-10,5.87416101961211e-08,9.999022500000001e-10,0,9.999022500000001e-10,0
9.999052500000003e-10,0,9.999052500000003e-10,0,9.999052500000003e-10,0,9.999052500000003e-10,-3.095513586313526e-06,9.999052500000003e-10,-3.106244400790314e-06,9.999052500000003e-10,0,9.999052500000003e-10,-3.106193310576812e-06,9.999052500000003e-10,1,9.999052500000003e-10,6.831046854524912e-06,9.999052500000003e-10,1.164487964332694e-05,9.999052500000003e-10,1.164712101445237e-05,9.999052500000003e-10,1.1241571039923e-05,9.999052500000003e-10,-0.04678682758311375,9.999052500000003e-10,5.99086102594083e-08,9.999052500000003e-10,0,9.999052500000003e-10,0
9.999061624753574e-10,0,9.999061624753574e-10,0,9.999061624753574e-10,0,9.999061624753574e-10,-3.091073174814812e-06,9.999061624753574e-10,-3.103232667641269e-06,9.999061624753574e-10,0,9.999061624753574e-10,-3.103193333844297e-06,9.999061624753574e-10,1,9.999061624753574e-10,6.850689589446301e-06,9.999061624753574e-10,1.168848114506909e-05,9.999061624753574e-10,1.169076344961435e-05,9.999061624753574e-10,1.128221335287977e-05,9.999061624753574e-10,-0.04678679889976224,9.999061624753574e-10,5.983908843563869e-08,9.999061624753574e-10,0,9.999061624753574e-10,0
9.999079874260717e-10,0,9.999079874260717e-10,0,9.999079874260717e-10,0,9.999079874260717e-10,-3.08364127216466e-06,9.999079874260717e-10,-3.099057667995016e-06,9.999079874260717e-10,0,9.999079874260717e-10,-3.09905020117311e-06,9.999079874260717e-10,1,9.999079874260717e-10,6.903773794375259e-06,9.999079874260717e-10,1.177718107810549e-05,9.999079874260717e-10,1.177964947225005e-05,9.999079874260717e-10,1.136264309144478e-05,9.999079874260717e-10,-0.04678677513043612,9.999079874260717e-10,5.962241788654989e-08,9.999079874260717e-10,0,9.999079874260717e-10,0
9.999116373275002e-10,0,9.999116373275002e-10,0,9.999116373275002e-10,0,9.999116373275002e-10,-3.071110049376826e-06,9.999116373275002e-10,-3.092840144399939e-06,9.999116373275002e-10,0,9.999116373275002e-10,-3.092871840144456e-06,9.999116373275002e-10,1,9.999116373275002e-10,7.04479391528387e-06,9.999116373275002e-10,1.195300608235985e-05,9.999116373275002e-10,1.195582191193502e-05,9.999116373275002e-10,1.151471325759136e-05,9.999116373275002e-10,-0.04678676417493583,9.999116373275002e-10,5.951792864371238e-08,9.999116373275002e-10,0,9.999116373275002e-10,0
9.999176490079963e-10,0,9.999176490079963e-10,0,9.999176490079963e-10,0,9.999176490079963e-10,-3.050837853790361e-06,9.999176490079963e-10,-3.083922272458181e-06,9.999176490079963e-10,0,9.999176490079963e-10,-3.083974625366619e-06,9.999176490079963e-10,1,9.999176490079963e-10,7.323804879529939e-06,9.999176490079963e-10,1.228366205616235e-05,9.999176490079963e-10,1.228692730031262e-05,9.999176490079963e-10,1.179363441161716e-05,9.999176490079963e-10,-0.04678677924183599,9.999176490079963e-10,5.976139463445845e-08,9.999176490079963e-10,0,9.999176490079963e-10,0
9.999296723689885e-10,0,9.999296723689885e-10,0,9.999296723689885e-10,0,9.999296723689885e-10,-3.009182202501161e-06,9.999296723689885e-10,-3.066966609001352e-06,9.999296723689885e-10,0,9.999296723689885e-10,-3.067041485867705e-06,9.999296723689885e-10,1,9.999296723689885e-10,7.949116116821678e-06,9.999296723689885e-10,1.300321659886087e-05,9.999296723689885e-10,1.300659021997251e-05,9.999296723689885e-10,1.23861835240707e-05,9.999296723689885e-10,-0.04678681174514653,9.999296723689885e-10,6.062322393406581e-08,9.999296723689885e-10,0,9.999296723689885e-10,0
9.999537190909728e-10,0,9.999537190909728e-10,0,9.999537190909728e-10,0,9.999537190909728e-10,-2.917604399342008e-06,9.999537190909728e-10,-3.030317234508462e-06,9.999537190909728e-10,0,9.999537190909728e-10,-3.03043759166184e-06,9.999537190909728e-10,1,9.999537190909728e-10,9.381264170991548e-06,9.999537190909728e-10,1.465779058163918e-05,9.999537190909728e-10,1.46613371325028e-05,9.999537190909728e-10,1.372065216006197e-05,9.999537190909728e-10,-0.04678679661482908,9.999537190909728e-10,6.253829171277167e-08,9.999537190909728e-10,0,9.999537190909728e-10,0
1.000001812534942e-09,0,1.000001812534942e-09,0,1.000001812534942e-09,0,1.000001812534942e-09,-2.704600394504533e-06,1.000001812534942e-09,-2.946762609219323e-06,1.000001812534942e-09,0,1.000001812534942e-09,-2.94699475778175e-06,1.000001812534942e-09,1,1.000001812534942e-09,1.284846983308408e-05,1.000001812534942e-09,1.869323392749841e-05,1.000001812534942e-09,1.869700847773159e-05,1.000001812534942e-09,1.689131189301631e-05,1.000001812534942e-09,-0.04678649351833664,1.000001812534942e-09,6.680845415673539e-08,1.000001812534942e-09,0,1.000001812534942e-09,0
